nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
Environment,"A Environment tem o propósito de salvar vidas, humanas e de animais, nas estradas brasileiras",Startup,"Ciências biológicas, Seguros, Mobilidade, Negócios sociais","Big Data, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Empresta Soluções e Negócios Ltda,"Há décadas, temos nos dedicado a oferecer soluções financeiras ágeis e transparentes, adaptadas às necessidades dos brasileiros. Por meio de uma plataforma unificada baseada em CRM próprio e um Motor de crédito inteligente, além de uma rede diversificada que inclui lojas físicas, franquias, televendas, aplicativo e e-commerce, estamos democratizando o acesso ao crédito no Brasil. 
Nosso compromisso vai além de simplesmente oferecer empréstimos; visamos atender às necessidades financeiras das pessoas de forma abrangente. Com uma experiência integrada, seja pessoalmente em uma de nossas lojas físicas ou através do nosso app intuitivo, estamos aqui para simplificar a vida financeira para todos. 
Acreditamos na parceria como impulsionadora da expansão e crescimento dos negócios. Oferecemos um modelo de franquias escalável, proporcionando oportunidades de crescimento e rentabilidade em um setor dinâmico e em constante evolução. Para empresas interessadas em ampliar seus ganhos e possibilidades de negócio, fornecemos soluções inovadoras em tecnologia, infraestrutura e produtos financeiros próprios. ",Média e Grande Empresa,Serviços financeiros,,,Executores Diretos das Missões,,,,,,
Wabtec Brasil Fabricação e Manutenção de Equipamentos LTDA,"A Wabtec é a principal empresa de tecnologia ferroviária do mundo, liderando o caminho na criação de uma rede de transporte de carga e passageiros mais sustentável e com atuação destacada também nos setores de mineração e industrial. Seus valores são baseados em segurança, inovação para clientes, excelência operacional e trabalho em equipe.

Nos últimos anos, a Wabtec alcançou os seguintes resultados principais:
•	Expansão global, com operações em mais de 50 países e uma equipe de mais de 27.000 funcionários.
•	Liderança em soluções inovadoras para os setores ferroviário de carga e trânsito, incluindo tecnologias verdes, soluções digitais e serviços avançados.
•	Reconhecimento por suas práticas de inclusão e acessibilidade, com altos escores no Índice de Igualdade de Deficiência.
•	Expansão de suas capacidades de serviços de locomotivas
Em resumo, a Wabtec está liderando o caminho na transformação do transporte ferroviário, da mineração e do setor industrial, com foco em segurança, inovação, excelência operacional e sustentabilidade.
",Média e Grande Empresa,"Mineração e Metalurgia, Transporte e Automotivo",,,Executores Diretos das Missões,,,,,,
GreenCon Tech,"Atividades de consultoria empresarial, desenvolvimento e licenciamento de programas de computador customizáveis, consultoria em tecnologia da informação.",Startup,"Regulamentação e compliance, Tecnologia da informação",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Invision Medical Devices,"A Invision é uma empresa com foco no desenvolvimento, produção e comercialização de produtos voltados para medicina oftalmológica, seguindo os mais rigorosos padrões de qualidade.",Startup,Ciências biológicas,,,Executores Diretos das Missões,,,,,,
ConectaDent,É uma plataforma onde Clínicas Odontológicas podem buscar e contratar Dentistas especialistas,Startup,Saúde,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
LITELEDS TECNOLOGIA LTDA,"Com sede em Itajubá – MG, Brasil, a Liteleds desenvolve e fabrica luminárias LED de alta eficiência e dispositivos para Smart Lightning voltados a soluções em iluminação pública, industrial, comercial e para usos gerais. As luminárias fabricadas pela Liteleds contam com as mais novas tecnologias em LEDs e Drivers. Além disso, a maioria das luminárias possuem proteção contra surtos elétricos e são construídas utilizando componentes de alta durabilidade. 
No mês de novembro de 2019 uma parceria entre a startup incubada Liteleds, a empresa Remo Engenharia e a Prefeitura Municipal de Itajubá realizou um piloto de iluminação pública na subida da igreja matriz. O projeto luminotécnico reduziu consideravelmente o consumo de energia gasto na rua, a substituição de luminárias de vapor de sódio de 450W por luminárias LED 120W reduziu em 74% o consumo.",Startup,Cidades inteligentes,IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Gran Moar,"A Gran Moar é uma startup de biotecnologia que inova no mercado de alimentos saudáveis, com o propósito de impactar positivamente a nutrição humana e o meio ambiente, por isso, transforma o bagaço de malte, um coproduto das cervejarias, em um novo produto alimentício, a farinha especial de malte, que possui altos níveis de fibras e proteínas, baixo valor energético e sustentável, inserida na economia circular. Nosso produto já possui os testes relacionados a tabela nutricional, testes físico-químicos e microbiológicos, além da padronização do processo produtivo em escala laboratorial, realizado pelo Instituto de Alimentos e Bebidas do CIT-SENAI de Belo Horizonte/MG. Estamos em fase de expansão para escala piloto, no qual conseguiremos produzir uma quantidade satisfatória da farinha de malte, no intuito de atender as demandas dos nossos potenciais clientes.",Startup,Alimentos,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
C & R AGRO AMBIENTAL CONSULTORIA LTDA - ME ,"Prestação de serviços de assessoria e consultoria nas áreas de recursos naturais e agropecuária, colheita, transporte e estradas florestais, Biotecnologia de pavimentos, coordenação de treinamentos e capacitação de técnicos e agentes econômicos, orientação para projetos de bioenergia e subprodutos na área agrícola e industrial, planejamento e acompanhamento na capacitação e busca de soluções para gestão e educação ambiental, gestão da inovação, cursos e desenvolvimentos de programas afins. A edição de livros na forma impressa, eletrônica e na internet. A edição de revistas periódicas, de conteúdo geral ou técnico na forma impressa, eletrônica e na internet. As atividades de organização e promoção de feiras, leilões, congressos, convenções, conferências e exposições comerciais e profissionais, incluindo ou não o fornecimento de pessoal para operar a infraestrutura dos lugares onde ocorrem esses eventos. As atividades de pesquisa e desenvolvimento realizadas no âmbito das ciências da vida, das ciências físicas e da engenharia.",Empresa de Base Tecnológica (EBT),"Agronegócio, Ciências biológicas, Sustentabilidade",Biotecnologia,"Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Haskell Cosméticos,"Fundada no ano 2000, a Haskell busca ser referência nacional em produtos capilares com ativos naturais. Para isso, investe em alta tecnologia e capacitação de pessoas, buscando sempre a inovação e a alta qualidade dos produtos criados.
 Norteada por valores que compõem a sua essência, respeita o meio ambiente e trata a natureza como a maior fonte de riqueza e inspiração. De forma sustentável, a Haskell conquista o mercado brasileiro cada vez mais exigente e competitivo, trazendo resultados e realçando a beleza natural dos mais diversos tipos de cabelos.",Empresa de Base Tecnológica (EBT),Saúde,,,Executores Diretos das Missões,,,,,,
Imersão Virtual,"A Imersão Virtual é uma empresa de tecnologia focada em criação de ambientes, estáticos e dinâmicos, para a visualização através da realidade virtual. Atuamos junto ao setor de marketing digital, branding e também o de vendas do seu negócio, implementando tecnologia e inovação através de uma experiência única e aumentando a conversão de vendas. 

Faturamento de R$29.484,00 em 6 meses de operação.",Startup,"Construção, Imóveis",Realidade Virtual,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Grupo Piramide,"O Grupo Pirâmide atua na cidade de Montes Claros-MG e é formado pelas concessionárias Kia, Honda, a imobiliária weblot e a Pirâmide Empreendimentos.",Média e Grande Empresa,"Construção Civil ou Setor Imobiliário, Transporte e Automotivo",,,Executores Diretos das Missões,,,,,,
Brasil Stream - Streaming Profissional,"A Brasil Stream é uma empresa brasileira (nicho – Streaming) do Grupo Brasil Work Serviços de Internet, sediada em Uberlândia-MG, com mais de 12 anos de atuação e propósito voltado para Emissoras de Rádios e TV.
Através de sua de rede própria, a empresa possui sua infraestrutura distribuída em Data Centers nas cidades de Uberlândia/MG, São Paulo/SP, Rio de Janeiro/RJ e EUA.
O Grupo é focado na prestação de serviços de infraestrutura para internet, como também em Software Web (SaaS), com uma gama de produtos: Hospedagem de Sites compartilhada ou Semi Dedicada, servidores do tipo Cloud Computing e Dedicados, realização de Registro de Domínios nacionais e internacionais, Streaming para transmissão de áudio e Streaming de vídeo, Aplicativo para Rádios, Site Administrável para Rádios, Auto DJ para Rádio Indor, Intranet entre outros. Atendendo a pequenas, média e grandes empresas de todo o Brasil.",Startup,Tecnologia da informação,,3. Tração,Executores Diretos das Missões,,,,,,
Safetest Diagnposticos,"A Safetest Diagnósticos é uma startup mineira criada em 2016 com a missão de fornecer soluções diagnósticas inovadoras para o setor da saúde humana e veterinária. A Safetest tem se destacado no ecossistema de inovação tendo participado do programa SEED-MG e ganhado a 3ª edição do Biostartup Lab, que selecionou 21 empresas dentre 1200 inscritas de todo o Brasil. Participou ainda do Biotech II, programa fomentado pela União Europeia que busca a capacitação de profissionais dos países membros do Mercosul em inovação tecnológica e com foco em biotecnologias. Além disso, participou do Programa de Aceleração da Dream2B em parceria com a Launch Academy no Canadá e foi selecionada como uma das startups destaques na NACO (National Angel Capital Organization). Sediada desde 2018 no Biominas, a empresa investe fortemente no setor de P,D&I, que conta com uma equipe de pesquisadores altamente qualificada formada na sua maioria por doutores com treinamento de pós-doutorado nas áreas de Análises Clínicas, Parasitologia, Infectologia e Medicina Tropical.
A empresa investe fortemente em P,D&I o que nos permitiu desenvolver em apenas 2 meses testes de diagnóstico sorológico do tipo ELISA e teste rápido, IgM e IgG, para a Covid-19.
Os testes Safetest Covid-19 foram desenvolvidos a partir de diversas técnicas de identificação de epitopos de alta resolução, resultando em um antígeno composto por peptídeos derivados de várias proteínas do Sars-Cov-2.
A SafeTest desenvolve testes diagnósticos a partir de ferramentas biotecnológicas de última geração, gerando resultados mais precisos e confiáveis, com custos acessíveis. Como resultado de nosso processo de seleção de partículas antigênicas utilizando a bioinformática, conseguimos desenvolver testes com maior sensibilidade e especificidade, com menor tempo de desenvolvimento e menor custo de produção.
-Tecnologia / P&D Brasileira de Ponta Global:Tecnologia desenvolvida por uma equipe de cientistas brasileiros e utilizando mão-de-obra 100% nacional.
-Produção no Brasil: Valorização dos profissionais e parque fabril nacional certificado pela ANVISA e Boas Práticas de Fabricação.
-Abordagem 100% Científica:Equipe formada por cientistas experientes, o que confere uma abordagem voltada a testes e análises, garantindo resultados de excelência, baseados em Padrão Ouro de referência.
-Métodos Singulares:A abordagem de utilização de partículas virais sintéticas no diagnóstico rápido é único no mercado.
-Parcerias com Universidades: Parceria com Universidade Federal de Minas Gerais para pesquisa e desenvolvimentos de novos
produtos. Isso confere uma rápida capacidade investigativa.
-Alcance Global: Aprovação dos testes pelas agência Europeia e em processo de aprovação no FDA e Health Canada. A SafeTest foi a única selecionada como solução confiável e acessível para o diagnóstico da infecção pelo novo coronavírus Sars-Cov-2 pelo Programa Ideia GOV do estado de SP.",Startup,Ciências biológicas,Bioinformática,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
3T Solar,"Atuando dentro do mercado de energia desde 2015, a 3TSOLAR Engenharia desenvolve o projeto de energia fotovoltaica perfeito para a sua necessidade.
​
Com o propósito de fazer do mundo um lugar melhor, a 3TSOLAR vêm levando consciência ambiental e sustentabilidade para a casa de seus clientes. Priorizando a melhor tecnologia e excelência em seus processos.
​
Com uma atuação forte na microrregião de Itajubá/MG, já consta com mais de 50% das usinas instaladas. Colaborando com a diminuição do consumo de energia e redução de contas de diversas famílias, empresas e industrias.",Startup,Energia,Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
LOGISTICA SOLUÇÕES DIGITAIS LTDA,"A ENATECH é uma spin-off do grupo Enacom, pensada para solucionar desafios que envolvam a logística e a siderurgia, a partir do desenvolvimento de softwares de alto valor agregado, aplicando otimização, big data, gêmeo digital e inteligência artificial. Nossas soluções são voltadas ao aumento da produção e/ou a redução de custos. O grupo Enacom esta a mais de 12 anos desenvolvendo softwares customizáveis para atender diferentes segmentos de mercado. Foi contemplada com mais de 35 prêmios, sendo TOP 3 no Prêmio Nacional de Inovação (2021-2022) e mantendo como TOP 10 no ranking da 100 Open Startup por três anos consecutivos nas modalidades de Machine Learning (2019), Big Date (2020) e IndTech (2021). Mediante as exigências e buscas constantes do mercado por soluções cada vez mais personalizadas e customizadas, a ENATECH foi pensada e estruturada para solucionar os desafios de modo especializado dos setores de logística e siderurgia.",Startup,"Indústria 4.0, Logística, Tecnologia da informação","Big Data, IOT (Internet das Coisas), Machine Learning, Otimização Multiobjetivo e Digital Twin","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
QIPixel,Startup voltada para o desenvolvimento de tecnologias para o agronegócio,Startup,Agronegócio,"Big Data, Realidade aumentada, Inteligência Artificial",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Projeto Guiq,"O objetivo da Projeto Guiq é corroborar para a democratização da educação de qualidade por meio do nosso aplicativo e website que será o ""Uber"" da educação. Desenvolvido por dois estudantes de federais que vivenciam diariamente, há 7 anos, a realidade dessas instituições. Um dos maiores problemas, observados durante toda nossa trajetória no ensino público, foi a questão do preço de aulas particulares. Pensando nisso, criamos o nosso projeto que tem como finalidade interligar professores e alunos para que possa ser acordado um preço justo por aula. Para tal, foi desenvolvido um aplicativo para smartphone em que o estudante seleciona as suas preferências como idade, formação e abordagem utilizada. Os voluntários neste primeiro momento, são alunos de cursos de graduação de Belo Horizonte e a princípio, teremos aulas das disciplinas do ensino médio, além de específicas de nível técnico e graduação dos cursos dos estudantes, além de inglês, programação e italiano. Nossa aplicação tem como principal papel a difusão de conhecimento de qualidade garantida e verificada, de forma acessível aos estudantes dos níveis médio, técnico e superior.",Startup,Educação,Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
MEDYES,"MedYes é uma empresa de base tecnológica voltada ao setor de saúde, que oferece ao mercado soluções de Big Data e Inteligência Artificial, fazendo uso de algoritmos e modelos estatísticos proprietários, capazes de transformar dados em informação para apoio a tomada de decisão e, assim, promover saúde, auxiliar os profissionais de saúde em suas práticas diárias e ajudar as empresas a melhorarem a performance de negócios.",Empresa de Base Tecnológica (EBT),Saúde,"Big Data, Machine Learning","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Bigdim,"Sistema para Captação & Fidelização de Clientes
Eleve o seu negócio para o próximo nível, atraia mais clientes, fidelize-os e aumente suas vendas!",Startup,Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
Manuel VAIoT,Plataforma de IoT para acompanhamento de biossinais de idosos e doentes cronicos,Startup,Saúde,"Deep Learning, IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Angular Money Group,"Começamos como uma empresa de prestação de serviços de desenvolvimento de sistema, e agora estamos desenvolvendo nossos produtos próprios, estamos atualmente atuando em 3 frentes, e nosso objetivo e ser reconhecida como uma empresa que esta lado a lado com a população, trabalhando sempre para mudar vidas por meio de tecnologia, facilitando e ajudando todos as pessoas possíveis, atualmente, estamos nos estruturando, já temos nossa sede própria, contamos aproximadamente hoje com mais de 20 desenvolvedores, e agora queremos evoluir nossos produtos que já estão em desenvolvimento. Nosso objetivo e cada dia crescer como empresa e pessoas, evoluindo nossos sistemas e criando mais.",Startup,"Entretenimento, Gestão de negócios, Negócios sociais, Saúde, Tecnologia da informação",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Seguro do Trabalhador,"Promovemos a geração de renda e o acesso das classes de baixa renda ao
mercado de seguros populares, por meio de uma rede de micro e pequenos
corretores franqueados “home office,” que são selecionados no próprio público alvo.
O principal objetivo é estabelecer no mercado um novo modelo de negócio capaz de promover a distribuição de seguros populares para a nova classe média (classe C), de forma a satisfazer suas necessidades e expectativas de consumo. Buscamos a consolidação da marca como referência no mercado de seguros populares por meio de um modelo de vendas realmente adequado ao comportamento de compra da classe.
Além disso, queremos promover o viés de impacto social, na medida em que o
negócio permite simultaneamente a geração de renda, e a inclusão social por meio da difusão do acesso a produtos privados de seguridade social.",Startup,Negócios sociais,Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
CIGTA- Centro de Inteligência LTDA.,"A Sociedade tem por objeto social: a edição de livros e revistas na Internet; empresa de
publicidade, material publicitário, anúncios; colocação de nome de clientes em jornais, revistas,
rádio, televisão e internet; contrato de transferência de tecnologia; serviços de assessoria em
comunicação; produção de filmes para publicidade; preparação de documentos e serviços
especializados de apoio administrativo; desenvolvimento, produção e criação de software de
banco de dados sob encomenda; desenvolvimento de projetos e modelagem de banco de dados
sob encomenda; confecção, desenvolvimento, criação e serviços de páginas, portais ou
interfaces para Internet; Web Design; serviços de desenvolvimento, licenciamento e
representação de software customizáveis; cessão de direito de uso de software customizável;
desenvolvimento e licenciamento de software não customizáveis, assessoria, customização e
atualização de software; programas de informática sob encomenda; serviços de instalação de
software; serviços de segurança, manutenção e suporte técnico em tecnologia da informação;
serviços de hospedagem de banco de dados na internet, Web hosting; gestão de operação de
banco de dados de terceiros; serviços de informação cartográfica e espacial; serviços de
geoprocessamento; locação de software; curso de aprendizagem e treinamento gerencial e
profissional, presencial e à distância e com acesso à internet; serviços de monitoramento
ambiental; elaboração de projetos de engenharia ambiental; serviços de engenharia ambiental;
atividades de apoio a produção florestal; locação de mão de obra temporária; seleção e
agenciamento de mão de obra; atividades de apoio a educação, exceto caixas escolares;
fotocópias",Empresa de Base Tecnológica (EBT),"Agronegócio, Imóveis, Regulamentação e compliance, Sustentabilidade, Tecnologia da informação","Big Data, Machine Learning, Ciência de dados","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Designers do Futuro,"Designers do Futuro é uma empresa Glocal. Atuamos globalmente e solucionamos problemas locais.
Nossa Plataforma Discovery utiliza ferramentas e soluções de análise e gestão que incluem inteligência artificial (AI) e de business (BI), análise de dados (Analytics), machine learning (ML) e base de dados distribuída (blockchain privada). Além de Data Coaching, processo de geração de perguntas para te guiar nas decisões.
Discovery AI ajuda a encontrar novas estratégias para aumentar receitas, reduzir custos e aumentar eficiência, diminuir riscos e fazer rastreabilidade segura e com experiência do cliente. Através da análise intensiva dos seus dados, propomos soluções para problemas específicos e outras necessidades operacionais da empresa.",Startup,"Agronegócio, Alimentos, Finanças, Indústria 4.0, Logística, Regulamentação e compliance, Seguros, Varejo","Big Data, Blockchain, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Enacom,"Empresa especializada em P&D na área de Engenharia, Inteligência Computacional, Desenvolvimentos de Software e Aplicativos Mobile",Startup,Indústria 4.0,,,Executores Diretos das Missões,,,,,,
FW&HW Sistemas,"Desenvolvimento de produtos de base tecnológica, orientados a Internet das Coisas e Redes de Comunicação sem Fio",Startup,"Cidades inteligentes, Indústria 4.0, Tecnologia da informação",IOT (Internet das Coisas),Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Liens,Monitoramento e assistencia eletronica na terceira idade,Startup,Cidades inteligentes,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Sidequest,"A Sidequest cria e gerencia equipes completas para projetos de tecnologia.

Trabalhamos com o modelo TAAS (Team as a service), que consiste em uma equipe remota e dedicada mensalmente para o desenvolvimento ou atualização de projetos de tecnologia, essa equipe é criada e gerenciada pela Sidequest utilizando um fluxo de desenvolvimento que garante uma qualidade máxima.

Atendemos empresas como: Healthmap, VOLL, Samba Tech, Golz, Cruzeiro Esporte Clube, ForSócios, PerfomanceLab, e outras.

As equipes são formadas por prestadores de serviço, e ano passado a Sidequest foi responsável por gerar mais de R$ 350.000 para desenvolvedores, designers e gestores de projetos que fazem parte das equipes criadas e gerencias pela Sidequest.",Startup,Tecnologia da informação,Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Minas RFID,"Identificamos e solucionamos perdas e extravios no controle de estoque e inventário, além de diminuir em mais de 90% o tempo gasto com contagem manual. Fazemos o controle de bens ativos com maior agilidade e assertividade. Desenvolvemos soluções sob demanda adequando a tecnologia RFID aos processos da empresa, tendo uma visão completa do negócio é possível gerar ferramentas de auditoria em tempo hábil e de forma eficiente. Aplicativo totalmente desenvolvido em ambiente Android, facilidade em integração com qualquer ERP presente no mercado, nossa solução oferece uma ferramenta de auditoria para controle de estoque e inventários de forma simples. 
O controle de estoque é algo crucial para as empresas e o processo de inventário manual é oneroso, trabalhoso e desgastante, demorando horas e as vezes dias para ser executado. Nossa proposta é fazer esse processo de forma automatizada com tempo e recursos humanos reduzidos.
Estamos no mercado há mais de 4 anos e temos o processo validado em vários segmentos, o produto encontra-se totalmente funcional e já operamos em diversas empresas.",Empresa de Base Tecnológica (EBT),"Indústria 4.0, Logística, Tecnologia da informação","IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
CHANGES ECONOMIA CIRCULAR,"Changes Economia Circular
Recriando metais “
Fundição de metais não ferrosos à biomassa
Nosso foco principal é a reciclagem de ligas não ferrosas de alumínio e de cobre com composição nominal certificada.
A partir da economia circular , a sucata metálica oriunda do descarte industrial é transformada em matéria prima para diversos segmentos da indústria metal mecânica, fundições , usinagens e ferramentarias .
Nossa vantagem competitiva é a flexibilidade na quantidade ofertada com preços competitivos, devido ao nosso econômico sistema energético.
Contamos ainda com parcerias com associações de catadores, empresas de reciclagem e centros de pesquisa.",Startup,"Energia, Cidades inteligentes",Big Data,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Atther Consultoria,"Consultoria em tecnologia, escrita de projetos e gestão de departamentos de TI.",Empresa de Base Tecnológica (EBT),"Finanças, Tecnologia da informação",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Imaginie,"Somos educadores que acreditam na tecnologia como fator de ignição de uma nova educação. Estamos focados na criação de produtos de tecnologia voltados para a construção do conhecimento. Nosso objetivo e trazer a inovação para o cotidiano do ensino, através de uma plataforma para professores, alunos, pais e escolas.",Startup,Educação,,4. Escala,Executores Diretos das Missões,,,,,,
Host One,"Soluções em Cloud Computing e Data Center Virtual, empresa que busca inovar a cada dia, trazendo soluções para pequenas e médias empresas de todo o Brasil.",Startup,Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
FacilControle,Fintech de gestão financeira que reduz custo com boleto bancário e automatiza o envio do boleto junto com a nota fiscal.,Startup,Finanças,,2. Operação,Executores Diretos das Missões,,,,,,
ChatPay,A ChatPay ajudar pessoas criativas e talentosas a facilmente monetizar seu conteúdo exclusivo.,Startup,"Finanças, Entretenimento",,,Executores Diretos das Missões,,,,,,
BlueBag Marketplace,"E O BlueBag é um aplicativo de venda de produtos de supermercado especialmente inspirado em você e em suas necessidades.
Você ganha comodidade, economia, praticidade e tempo para gastar com o que realmentee importa.",Startup,Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
eSolvere,"A eSolvere Tecnologia LTDA, desenvolve soluções baseadas em análise de imagem, obtida por câmera para o controle de qualidade de informação nos produtos fabricados na indústria.",Empresa de Base Tecnológica (EBT),Indústria 4.0,,,Executores Diretos das Missões,,,,,,
Orion Sistemas Ltda,"Desenvolvimento de software para o Varejo em geral. São 700 clientes ativos. Nosso faturamento no último ano foi de R$3.260.000,00 (Três milhões, duzentos e sessenta mil reais)",Empresa de Base Tecnológica (EBT),"Gestão de negócios, Tecnologia da informação, Varejo",Nenhuma,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Promoburn - Promoções e Descontos,"PROMOBURN é a rede social das promoções, onde usuários buscam e compartilham as melhores promoções, descontos e cupons das maiores lojas virtuais do Brasil.
Parceria além do ROI
Além de gerar tráfego e vendas, o Promoburn ajuda a apresentar novas marcas para a comunidade, fortalecer o branding e gerar insights para melhorar a performance do seu negócio.
O Promoburn reúne uma comunidade de apaixonados por promoções e ofertas da internet, que estão sempre à espera de uma boa oportunidade para economizar.
Credibilidade
O Promoburn verifica uma a uma todas as ofertas que aparecem na plataforma. Com isso, nossa comunidade se sente mais segura para aproveitar as promoções compartilhadas conosco.
Diversidade
Dentro da nossa comunidade, encontram-se os mais diversos perfis de consumidores, o que resulta nas vendas de todo tipos de produto, como eletrônicos, roupas, tênis, eletrodomésticos, móveis etc.",Startup,Varejo,IOT (Internet das Coisas),"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
EcoCash Gestão e Soluções Ambientais,"A dinâmica de funcionamento da plataforma reside na segregação de resíduos pelos consumidores conscientes, que através de seu acesso encontram captadores de resíduos disponíveis classificados conforme material captado, distância, potencial de gratificação e disponibilidade de realização de coleta. Sendo assim, o consumidor pode escolher a qual captador dará o seu resíduo segregado, tendo confiança que ele terá a devida destinação. Em gratificação ao reciclável entregue, os captadores de resíduos emitem “créditos” na plataforma ao consumidor, este poderá acumulá-los e trocá-los por produtos/serviços nas empresas/instituições/poder público parceiros. Os parceiros recebem da Ecocash o reembolso dos créditos resgatados em seus produtos/serviços e podem participar ativamente na precificação destes créditos, podendo subsidiar parte, ou não, dos valores resgatados.",Startup,"Cidades inteligentes, Gestão de resíduos, Logística, Negócios sociais, Sustentabilidade, Tecnologia da informação, Vendas","Big Data, Blockchain","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
ClientePrivado Tecnologia Ltda,Soluções inteligentes para o mercado imobiliário,Startup,Imóveis,,,Executores Diretos das Missões,,,,,,
3geolink,"Fundada em outubro de 2008, a 3GEOLINK é uma empresa sólida e eficiente, composta de profissionais capacitados e experientes em geoprocessamento, topografia, cartografia digital, bancos de dados geográficos, análise espacial e desenvolvimento de aplicativos web e webGIS.
Criamos nossas soluções com base em uma cuidadosa investigação da nossa clientela em potencial e de suas expectativas sobre os nossos produtos. Sabemos como analisar essa informação e customizar as nossas propostas de acordo com as diferentes demandas do mercado.",Startup,Agronegócio,,,Executores Diretos das Missões,,,,,,
